Name,Lat,Lon,tp_probb,tp_probn,tp_proba
DALWALLINU,-30.276,116.671,24.7319355010986,31.1648578643799,44.1032066345215
DAMPIER SALT,-20.728,116.748,26.5174655914307,30.6891574859619,42.7933769226074
DANDARAGAN WEST,-30.694,115.582,27.3284282684326,31.5958805084229,41.0756912231445
DARDANUP EAST,-33.397,115.783,33.045654296875,34.4276580810547,32.5266876220703
DARGO,-37.458,147.252,32.0040054321289,33.7616081237793,34.2343864440918
DARKAN,-33.335,116.743,31.6556568145752,34.6339797973633,33.7103614807129
DARKE PEAK,-33.468,136.211,29.7917747497559,34.1963233947754,36.0119018554688
DARRIMAN (TARRALANGI),-38.421,146.964,32.8386840820312,32.8414878845215,34.3198280334473
DARWIN AIRPORT,-12.424,130.893,32.0370483398438,32.5885162353516,35.3744354248047
DARWIN HOSPITAL,-12.354,130.882,32.0370483398438,32.5885162353516,35.3744354248047
DARWIN RIVER DAM,-12.832,130.971,32.0370483398438,32.5885162353516,35.3744354248047
DEDDINGTON (MARATHON),-41.576,147.452,33.2666893005371,34.9785614013672,31.7547492980957
DEDERANG,-36.479,147.03,29.9807891845703,34.3145942687988,35.7046165466309
DEEPWATER POST OFFICE,-29.442,151.848,29.7122745513916,33.2651596069336,37.0225677490234
DEERAL,-17.208,145.909,30.8173274993896,33.2734527587891,35.9092216491699
DEESIDE,-34.377,116.414,30.6302490234375,33.8236770629883,35.546070098877
DELAMERE WEAPONS RANGE,-15.744,131.918,35.5852928161621,28.4798431396484,35.9348640441895
DELETA STATION,-27.034,122.444,22.7637844085693,32.9282646179199,44.3079490661621
DELLICKNORA (TELLICURA),-37.107,148.685,31.7309646606445,31.6323871612549,36.636646270752
DELORAINE (REEDY MARSH),-41.466,146.67,33.2666893005371,34.9785614013672,31.7547492980957
DELUNGRA (PEARSBY HALL),-29.556,150.89,29.3113136291504,32.3121604919434,38.3765258789062
DENHAM,-25.926,113.532,21.5051155090332,31.2863273620605,47.2085571289062
DENILIQUIN (WILKINSON ST),-35.527,144.952,31.2380542755127,33.3775825500488,35.3843612670898
DENILIQUIN AIRPORT AWS,-35.558,144.946,31.2380542755127,33.3775825500488,35.3843612670898
DENMARK,-34.962,117.357,29.1017875671387,34.3998870849609,36.4983291625977
DEPOT SPRINGS,-27.933,120.058,15.9464654922485,31.8211841583252,52.232349395752
DERBY AERO,-17.371,123.661,34.2237892150879,31.5771045684814,34.1991081237793
DERGHOLM (HILLGROVE),-37.356,141.21,33.6769599914551,31.778003692627,34.545036315918
DERRINALLUM (CRAIGMORE),-37.971,143.219,32.0833892822266,32.8116111755371,35.1049995422363
DERRINALLUM (POST OFFICE),-37.948,143.222,32.0833892822266,32.8116111755371,35.1049995422363
DESERT FRINGE,-32.93,119.837,27.6413478851318,34.1780548095703,38.1805953979492
DEVIOT JETTY,-41.234,146.929,33.2666893005371,34.9785614013672,31.7547492980957
DEVONPORT AIRPORT,-41.171,146.427,32.9836730957031,34.2250900268555,32.7912368774414
DIMBOOLA,-36.464,142.033,32.302417755127,32.7953720092773,34.9022102355957
